TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,Res,FPS,BitDepth,QP,POC,FrameType,Level,qindex,FrameSize,PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,CAMBI
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,15, KEY ,1,162,126568,41.953935,47.377230,47.130407,28.237159,19.751910,100.000000,99.094869,41.898553,42.420743,1.142475
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,16, KEY ,1,162,127092,41.954892,47.381132,47.159209,28.227166,19.761334,100.000000,98.955646,41.910591,42.453134,1.135041
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,17, KEY ,1,162,127939,41.952331,47.359575,47.136958,28.287997,19.770667,100.000000,98.939105,41.916234,42.414195,1.101784
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,18, KEY ,1,162,128502,41.957725,47.365387,47.142260,28.259295,19.783664,100.000000,98.936881,41.916834,42.436437,1.131207
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,19, KEY ,1,162,128796,41.960908,47.363163,47.144417,28.291489,19.794522,100.000000,98.925350,41.932572,42.447593,1.113621
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,20, KEY ,1,162,128252,41.960880,47.344005,47.135802,28.310570,19.795773,100.000000,98.929968,41.922063,42.438279,1.104628
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,21, KEY ,1,162,128542,41.958684,47.336895,47.178971,28.314255,19.792784,100.000000,99.021654,41.942913,42.444936,1.111109
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,22, KEY ,1,162,128700,41.955344,47.371493,47.166711,28.300406,19.798864,100.000000,99.086212,41.937444,42.428458,1.111883
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,23, KEY ,1,162,128930,41.954361,47.365637,47.171182,28.343854,19.800534,100.000000,99.053813,41.931447,42.427766,1.076110
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,24, KEY ,1,162,128636,41.957203,47.325682,47.158262,28.325155,19.793253,100.000000,99.036136,41.925644,42.418143,1.083263
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,25, KEY ,1,162,128073,41.948728,47.363185,47.145390,28.264499,19.782105,100.000000,99.041945,41.917522,42.426195,1.081720
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,26, KEY ,1,162,128432,41.959879,47.361277,47.174121,28.347215,19.800640,100.000000,99.120796,41.929868,42.433811,1.078942
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,27, KEY ,1,162,128513,41.959671,47.329284,47.184045,28.428290,19.812936,100.000000,99.174784,41.934610,42.414498,1.070275
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,28, KEY ,1,162,128569,41.955822,47.342260,47.140162,28.374369,19.810707,100.000000,99.253025,41.923398,42.407042,1.067739
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,110,29, KEY ,1,162,128858,41.951812,47.353231,47.160250,28.383458,19.809450,100.000000,99.313806,41.928661,42.404912,1.045623
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,0, KEY ,1,187,62252,40.003195,45.076982,44.824787,24.125287,17.797369,86.774990,84.459826,38.430288,40.570407,1.345325
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,1, KEY ,1,187,61979,39.993894,45.062812,44.811929,24.114526,17.781221,94.057487,91.736565,38.404956,40.547801,1.323487
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,2, KEY ,1,187,62090,40.006597,45.063903,44.820273,24.200626,17.803882,94.084742,91.845186,38.418731,40.603192,1.337154
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,3, KEY ,1,187,62211,40.022291,45.057868,44.852232,24.271615,17.837044,94.144297,91.873730,38.452162,40.592408,1.316511
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,4, KEY ,1,187,62287,40.023745,45.032699,44.816158,24.284995,17.846630,94.091513,91.858608,38.450871,40.584692,1.336609
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,5, KEY ,1,187,62305,40.025744,45.034198,44.838765,24.242159,17.837569,94.138924,91.879277,38.448578,40.586942,1.343055
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,6, KEY ,1,187,62750,40.046353,45.056280,44.823785,24.303364,17.873204,94.060767,91.796791,38.476525,40.601884,1.269416
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,7, KEY ,1,187,62402,40.021104,45.046360,44.834136,24.259795,17.860588,94.115394,91.837358,38.450157,40.600892,1.327454
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,8, KEY ,1,187,62725,40.029044,45.035492,44.816165,24.284301,17.871000,94.125014,91.839529,38.464105,40.614329,1.330167
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,9, KEY ,1,187,62566,40.034363,45.000608,44.866250,24.321251,17.876911,94.095873,91.813054,38.468733,40.593976,1.369846
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,10, KEY ,1,187,62543,40.037112,45.032064,44.879712,24.323842,17.881940,94.314418,91.933214,38.470497,40.626404,1.389220
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,11, KEY ,1,187,62412,40.034823,45.058991,44.861641,24.314255,17.872354,94.231282,91.960789,38.472326,40.617958,1.315856
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,12, KEY ,1,187,62457,40.050952,45.072596,44.854009,24.329240,17.897962,94.401790,92.058680,38.492236,40.631891,1.342166
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,13, KEY ,1,187,62530,40.063668,44.975731,44.887979,24.341111,17.907439,94.285476,92.041784,38.510957,40.645275,1.342610
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,14, KEY ,1,187,62614,40.046043,45.052963,44.818218,24.301621,17.888439,94.017164,91.774869,38.489373,40.640754,1.326140
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,15, KEY ,1,187,62672,40.033524,45.002727,44.843198,24.350828,17.894405,94.100998,91.816339,38.481366,40.627715,1.276283
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,16, KEY ,1,187,62875,40.030010,45.048474,44.842977,24.345967,17.897400,94.136210,91.797644,38.487691,40.642323,1.319568
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,17, KEY ,1,187,63339,40.025136,44.965035,44.825572,24.353648,17.896827,94.000013,91.694257,38.481885,40.601392,1.320152
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,18, KEY ,1,187,63398,40.015913,44.956037,44.870107,24.343010,17.895543,93.931772,91.706263,38.471241,40.611145,1.285420
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,19, KEY ,1,187,63469,40.005988,45.007105,44.858883,24.290623,17.887728,93.964012,91.651777,38.454654,40.621008,1.287502
