TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,Res,FPS,BitDepth,QP,POC,FrameType,Level,qindex,FrameSize,PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,CAMBI
STILL,aom,av2,0,F1,fireworks_01.y4m,4032x3024,25,8,60,0, KEY ,1,62,4128893,48.949976,54.875912,53.268130,42.114612,30.210377,96.446729,95.769478,53.259297,52.049338,0.000009
STILL,aom,av2,0,F1,fireworks_01.y4m,4032x3024,25,8,85,0, KEY ,1,87,2483523,42.902043,52.804131,51.689170,36.308802,24.076950,95.013530,94.042936,48.304357,47.566751,0.000101
STILL,aom,av2,0,F1,fireworks_01.y4m,4032x3024,25,8,110,0, KEY ,1,112,987737,36.988607,50.353730,49.836096,29.900761,17.487815,91.554336,90.132727,40.964952,42.780855,0.000931
STILL,aom,av2,0,F1,fireworks_01.y4m,4032x3024,25,8,135,0, KEY ,1,137,193139,32.941189,47.652401,47.473481,23.194098,11.273293,82.620104,81.060855,33.652632,39.006232,0.444676
STILL,aom,av2,0,F1,fireworks_01.y4m,4032x3024,25,8,160,0, KEY ,1,162,43312,31.462047,44.759186,44.657084,16.814355,8.587411,66.716576,65.261390,30.262755,37.420336,12.360252
STILL,aom,av2,0,F1,fireworks_01.y4m,4032x3024,25,8,185,0, KEY ,1,187,19285,30.621146,41.771336,41.222937,14.618066,8.037858,52.702561,51.479360,28.678383,36.225331,14.551552
STILL,aom,av2,0,F1,flowerfield.y4m,3696x2448,25,8,60,0, KEY ,1,62,1203181,51.262214,51.128714,51.545625,48.198862,32.041519,96.806891,96.017886,52.589722,53.151134,0.003108
STILL,aom,av2,0,F1,flowerfield.y4m,3696x2448,25,8,85,0, KEY ,1,87,634337,47.370744,46.886233,47.510564,42.208287,27.533605,95.677173,94.564882,47.686188,48.689914,0.005116
STILL,aom,av2,0,F1,flowerfield.y4m,3696x2448,25,8,110,0, KEY ,1,112,328206,43.759298,43.078471,43.987958,36.326542,23.815503,92.822608,91.229503,42.519275,45.164391,0.005344
STILL,aom,av2,0,F1,flowerfield.y4m,3696x2448,25,8,135,0, KEY ,1,137,170418,40.160905,39.510542,40.553194,30.239515,20.097325,85.659211,83.638992,37.243861,41.721287,0.008319
