tag,cfg,class,psnr_y,psnr_u,psnr_v,overall_psnr,ssim_y,ms_ssim_y,vmaf,vmaf_neg,psnr_hvs,ciede2k,apsnr_y,apsnr_u,apsnr_v,overall_apsnr
libaom-v3.12.0-unconstrained,AI,A4,0.5818500000000001,3.0019333333333336,1.0616666666666668,0.6803833333333333,-0.4572833333333333,-0.1906,-0.02256666666666665,-0.4659,1.6523,2.17645,0.5798,3.02695,1.0431000000000001,0.62335
libaom-v3.12.0-unconstrained,AI,A5,0.7040249999999999,-1.9653,-3.2162249999999997,0.464425,-0.29185,-0.306125,1.1248250000000002,0.9703,0.007974999999999982,-0.016649999999999998,0.70745,-1.8815,-3.1553750000000003,0.5674750000000001
libaom-v3.12.0-unconstrained,AI,B1,-0.09185999999999997,-1.27865,-1.16586,-0.18871,0.002409999999999948,-0.37437,-0.13788999999999996,-0.31875000000000003,1.16358,1.7518999999999998,-0.19262,-1.3563399999999999,-1.22913,-0.28171000000000007
libaom-v3.12.0-unconstrained,AI,B2,22.153233333333336,13.783099999999997,13.929211111111108,21.19991111111111,23.037288888888888,22.413688888888892,23.92468888888889,23.2765,22.009766666666668,19.218877777777777,21.99663333333333,13.802644444444446,14.05918888888889,21.16901111111111
libaom-v3.12.0-unconstrained,AI,E,0.70711875,-1.0796999999999999,-1.647775,0.68128125,0.66078125,0.3012375,0.27625000000000005,0.51991875,0.48783125,-0.5159,0.7626875,-0.98109375,-1.57465,0.53020625
libaom-v3.12.0-unconstrained,AI,G1,-0.06945000000000001,-3.05715,-8.021675,-0.51275,0.144125,-0.023899999999999984,0.402575,0.5064,-0.0678,-2.0286,-0.06675,-3.075975,-8.034775,-0.233225
libaom-v3.12.0-unconstrained,AI,G2,0.4022428571428572,-3.5364857142857145,-4.1970857142857145,0.06144285714285713,0.5567142857142857,0.6231285714285715,-0.3500571428571429,-0.3485142857142857,0.20465714285714287,-1.0815285714285714,0.4071000000000001,-3.5401428571428575,-4.187285714285714,0.14195714285714284
libaom-v3.12.0-unconstrained,AS,A1,-7.6871624999999995,-7.1752625000000005,-8.027075,-7.811999999999999,-8.2383125,-8.461762499999999,-2.580075,-3.1923125,-8.0600625,-9.819212499999999,-8.3368375,-7.809875,-8.60175,-8.48725
libaom-v3.12.0-unconstrained,LD,A2,4.076321052631579,-0.3797736842105262,-0.4191315789473685,3.588268421052631,2.783894736842105,2.9384105263157894,4.277852631578948,3.9884052631578952,3.6206105263157897,3.3911052631578946,4.443252631578948,-0.4454631578947368,-0.31081578947368427,4.219226315789474
libaom-v3.12.0-unconstrained,LD,A3,4.2360875,2.3264875,3.1436875,4.0553375,4.1426875,4.218500000000001,4.6910625,4.0770625,3.9020375,3.2132875,4.2631375,2.402175,3.2881625,4.2391125
